loan_amount;emp_length;home_ownership;income;loan_purpose;debt_to_income;credit_score;recent_inquiry;delinquent;credit_accounts;bad_public_record;credit_utilization;past_bankrupt;outcome
HIGH;6 - 9 years;RENT;HIGH;credit_card;HIGH;LOW;YES;NEVER;MANY;NO;HIGH;NO;repaid
MEDIUM;< 2 years;MORTGAGE;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
MEDIUM;10+ years;RENT;MEDIUM;debt_consolidation;HIGH;HIGH;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
LOW;6 - 9 years;MORTGAGE;MEDIUM;debt_consolidation;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;YES;MEDIUM;YES;default
MEDIUM;2 - 5 years;RENT;MEDIUM;small_business;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;HIGH;LOW;NO;MORE THAN 2 YEARS;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;10+ years;RENT;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;MANY;NO;HIGH;NO;repaid
HIGH;< 2 years;MORTGAGE;MEDIUM;small_business;AVERAGE;HIGH;YES;NEVER;AVERAGE;NO;LOW;NO;repaid
LOW;< 2 years;MORTGAGE;MEDIUM;car;LOW;HIGH;NO;NEVER;FEW;NO;HIGH;NO;repaid
HIGH;6 - 9 years;RENT;HIGH;credit_card;HIGH;LOW;YES;MORE THAN 2 YEARS;MANY;NO;HIGH;NO;repaid
HIGH;6 - 9 years;MORTGAGE;MEDIUM;credit_card;HIGH;AVERAGE;YES;NEVER;MANY;NO;HIGH;NO;default
LOW;10+ years;MORTGAGE;HIGH;car;LOW;AVERAGE;NO;MORE THAN 2 YEARS;FEW;NO;LOW;NO;repaid
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;10+ years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;NO;NEVER;FEW;NO;HIGH;NO;default
MEDIUM;6 - 9 years;OWN;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;MORTGAGE;LOW;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;< 2 years;RENT;MEDIUM;credit_card;HIGH;LOW;NO;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;default
HIGH;10+ years;MORTGAGE;MEDIUM;credit_card;AVERAGE;AVERAGE;NO;MORE THAN 2 YEARS;FEW;NO;HIGH;NO;default
HIGH;2 - 5 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;default
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;6 - 9 years;MORTGAGE;HIGH;home_improvement;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;MORTGAGE;LOW;medical;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;10+ years;RENT;MEDIUM;credit_card;HIGH;HIGH;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;< 2 years;RENT;MEDIUM;debt_consolidation;HIGH;LOW;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;OWN;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
MEDIUM;6 - 9 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;10+ years;RENT;LOW;credit_card;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;< 2 years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;IN PAST 2 YEARS;AVERAGE;NO;HIGH;NO;default
MEDIUM;< 2 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;OWN;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;10+ years;OWN;MEDIUM;debt_consolidation;AVERAGE;HIGH;YES;NEVER;FEW;NO;MEDIUM;NO;repaid
LOW;unemployed;OWN;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;default
HIGH;2 - 5 years;RENT;HIGH;debt_consolidation;AVERAGE;AVERAGE;NO;IN PAST 2 YEARS;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;small_business;LOW;AVERAGE;YES;IN PAST 2 YEARS;MANY;NO;MEDIUM;NO;default
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;AVERAGE;LOW;YES;MORE THAN 2 YEARS;FEW;NO;MEDIUM;NO;default
HIGH;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;LOW;YES;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;2 - 5 years;RENT;MEDIUM;debt_consolidation;LOW;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;HIGH;LOW;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;LOW;NO;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;default
HIGH;< 2 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;6 - 9 years;MORTGAGE;MEDIUM;other;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;10+ years;MORTGAGE;HIGH;debt_consolidation;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;10+ years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;10+ years;MORTGAGE;MEDIUM;credit_card;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;6 - 9 years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;FEW;NO;MEDIUM;NO;repaid
HIGH;10+ years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
LOW;< 2 years;RENT;LOW;credit_card;HIGH;LOW;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
HIGH;10+ years;MORTGAGE;HIGH;debt_consolidation;LOW;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;< 2 years;MORTGAGE;MEDIUM;moving;HIGH;AVERAGE;YES;NEVER;MANY;NO;HIGH;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;LOW;AVERAGE;NO;NEVER;FEW;NO;HIGH;NO;default
HIGH;10+ years;MORTGAGE;MEDIUM;home_improvement;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;MEDIUM;NO;default
MEDIUM;6 - 9 years;MORTGAGE;MEDIUM;credit_card;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
LOW;< 2 years;RENT;MEDIUM;major_purchase;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;credit_card;LOW;AVERAGE;NO;NEVER;FEW;NO;MEDIUM;NO;default
LOW;2 - 5 years;MORTGAGE;MEDIUM;other;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;MEDIUM;NO;repaid
HIGH;10+ years;RENT;MEDIUM;vacation;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;MORTGAGE;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;RENT;HIGH;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;MANY;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
LOW;2 - 5 years;RENT;LOW;debt_consolidation;LOW;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;default
MEDIUM;10+ years;MORTGAGE;MEDIUM;debt_consolidation;AVERAGE;HIGH;NO;NEVER;AVERAGE;NO;LOW;NO;repaid
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;MANY;NO;HIGH;NO;repaid
MEDIUM;10+ years;RENT;LOW;credit_card;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
LOW;10+ years;MORTGAGE;MEDIUM;other;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;LOW;NO;repaid
MEDIUM;6 - 9 years;RENT;HIGH;other;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;10+ years;RENT;LOW;small_business;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;MEDIUM;NO;default
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;10+ years;OWN;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;FEW;NO;MEDIUM;NO;default
LOW;10+ years;MORTGAGE;MEDIUM;debt_consolidation;AVERAGE;LOW;YES;NEVER;MANY;NO;MEDIUM;NO;repaid
MEDIUM;6 - 9 years;OWN;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;repaid
MEDIUM;10+ years;RENT;MEDIUM;debt_consolidation;HIGH;LOW;NO;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;10+ years;MORTGAGE;MEDIUM;credit_card;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;credit_card;AVERAGE;LOW;NO;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;2 - 5 years;RENT;MEDIUM;small_business;LOW;HIGH;NO;NEVER;AVERAGE;NO;LOW;NO;default
HIGH;6 - 9 years;OWN;MEDIUM;home_improvement;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;10+ years;OWN;MEDIUM;debt_consolidation;HIGH;LOW;YES;NEVER;MANY;NO;HIGH;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;AVERAGE;LOW;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;credit_card;HIGH;AVERAGE;YES;NEVER;MANY;NO;HIGH;NO;default
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;IN PAST 2 YEARS;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;LOW;other;AVERAGE;AVERAGE;NO;NEVER;FEW;NO;HIGH;NO;repaid
LOW;2 - 5 years;RENT;MEDIUM;credit_card;AVERAGE;HIGH;NO;NEVER;AVERAGE;NO;LOW;NO;repaid
HIGH;10+ years;OWN;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;< 2 years;MORTGAGE;MEDIUM;debt_consolidation;LOW;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;default
LOW;2 - 5 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;2 - 5 years;RENT;HIGH;credit_card;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;2 - 5 years;MORTGAGE;HIGH;debt_consolidation;LOW;HIGH;NO;NEVER;MANY;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;LOW;credit_card;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;10+ years;MORTGAGE;HIGH;car;LOW;HIGH;YES;NEVER;MANY;NO;LOW;NO;default
MEDIUM;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;10+ years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;repaid
HIGH;6 - 9 years;MORTGAGE;MEDIUM;home_improvement;AVERAGE;LOW;NO;MORE THAN 2 YEARS;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;10+ years;OWN;HIGH;major_purchase;LOW;HIGH;YES;NEVER;AVERAGE;NO;LOW;NO;repaid
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;6 - 9 years;MORTGAGE;HIGH;credit_card;HIGH;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;repaid
LOW;2 - 5 years;RENT;MEDIUM;other;AVERAGE;LOW;YES;IN PAST 2 YEARS;FEW;NO;HIGH;NO;default
HIGH;10+ years;RENT;MEDIUM;credit_card;HIGH;AVERAGE;NO;NEVER;MANY;NO;HIGH;NO;default
MEDIUM;2 - 5 years;MORTGAGE;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;LOW;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;2 - 5 years;OWN;LOW;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;FEW;NO;HIGH;NO;default
MEDIUM;< 2 years;RENT;LOW;debt_consolidation;LOW;HIGH;NO;NEVER;FEW;NO;LOW;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;credit_card;HIGH;LOW;YES;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;repaid
LOW;< 2 years;RENT;HIGH;debt_consolidation;LOW;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
LOW;< 2 years;RENT;LOW;other;LOW;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;FEW;NO;HIGH;NO;repaid
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;10+ years;MORTGAGE;HIGH;debt_consolidation;HIGH;AVERAGE;NO;NEVER;MANY;NO;HIGH;NO;repaid
LOW;unemployed;RENT;LOW;major_purchase;LOW;AVERAGE;YES;NEVER;FEW;YES;HIGH;YES;default
MEDIUM;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;default
HIGH;2 - 5 years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;2 - 5 years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;< 2 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;FEW;NO;MEDIUM;NO;default
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;default
MEDIUM;unemployed;MORTGAGE;LOW;debt_consolidation;AVERAGE;HIGH;YES;NEVER;MANY;NO;LOW;NO;repaid
HIGH;2 - 5 years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;MANY;NO;MEDIUM;NO;repaid
LOW;2 - 5 years;MORTGAGE;LOW;credit_card;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;MORE THAN 2 YEARS;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;2 - 5 years;RENT;MEDIUM;debt_consolidation;LOW;LOW;NO;NEVER;FEW;NO;HIGH;NO;default
LOW;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;default
LOW;6 - 9 years;MORTGAGE;HIGH;home_improvement;LOW;HIGH;YES;NEVER;MANY;NO;LOW;NO;repaid
LOW;10+ years;MORTGAGE;HIGH;other;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;< 2 years;RENT;HIGH;small_business;HIGH;LOW;NO;IN PAST 2 YEARS;MANY;NO;HIGH;NO;default
LOW;6 - 9 years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;10+ years;MORTGAGE;LOW;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
LOW;10+ years;RENT;MEDIUM;debt_consolidation;LOW;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
MEDIUM;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;LOW;YES;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;< 2 years;RENT;HIGH;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
HIGH;< 2 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
LOW;10+ years;OWN;MEDIUM;debt_consolidation;LOW;AVERAGE;YES;MORE THAN 2 YEARS;FEW;NO;HIGH;NO;default
MEDIUM;2 - 5 years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;10+ years;RENT;HIGH;credit_card;HIGH;AVERAGE;NO;NEVER;MANY;NO;HIGH;NO;default
MEDIUM;< 2 years;RENT;MEDIUM;debt_consolidation;HIGH;HIGH;NO;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;default
HIGH;10+ years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
HIGH;2 - 5 years;OWN;HIGH;debt_consolidation;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;HIGH;NO;default
MEDIUM;2 - 5 years;RENT;LOW;debt_consolidation;LOW;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
HIGH;10+ years;OWN;MEDIUM;debt_consolidation;HIGH;HIGH;NO;NEVER;AVERAGE;NO;LOW;NO;repaid
LOW;2 - 5 years;RENT;MEDIUM;other;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
MEDIUM;< 2 years;RENT;MEDIUM;credit_card;AVERAGE;AVERAGE;YES;NEVER;MANY;NO;HIGH;NO;default
HIGH;2 - 5 years;RENT;HIGH;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;6 - 9 years;RENT;HIGH;credit_card;LOW;AVERAGE;YES;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;repaid
HIGH;10+ years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;2 - 5 years;RENT;LOW;other;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;MEDIUM;NO;default
HIGH;< 2 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;repaid
HIGH;2 - 5 years;RENT;MEDIUM;credit_card;AVERAGE;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;repaid
MEDIUM;2 - 5 years;OWN;LOW;debt_consolidation;HIGH;AVERAGE;YES;MORE THAN 2 YEARS;FEW;NO;HIGH;NO;repaid
HIGH;10+ years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
LOW;6 - 9 years;RENT;LOW;home_improvement;AVERAGE;AVERAGE;YES;MORE THAN 2 YEARS;AVERAGE;NO;LOW;NO;default
MEDIUM;10+ years;MORTGAGE;MEDIUM;debt_consolidation;HIGH;AVERAGE;NO;MORE THAN 2 YEARS;MANY;NO;MEDIUM;NO;repaid
HIGH;10+ years;RENT;MEDIUM;credit_card;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;repaid
LOW;10+ years;RENT;MEDIUM;house;AVERAGE;AVERAGE;YES;NEVER;FEW;YES;LOW;YES;default
LOW;unemployed;MORTGAGE;LOW;home_improvement;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;HIGH;NO;default
HIGH;10+ years;MORTGAGE;HIGH;debt_consolidation;AVERAGE;HIGH;NO;NEVER;MANY;NO;LOW;NO;repaid
MEDIUM;6 - 9 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;MANY;NO;MEDIUM;NO;default
MEDIUM;6 - 9 years;MORTGAGE;MEDIUM;credit_card;HIGH;AVERAGE;NO;NEVER;MANY;NO;HIGH;NO;repaid
MEDIUM;< 2 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;default
MEDIUM;10+ years;RENT;LOW;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;FEW;NO;HIGH;NO;default
HIGH;6 - 9 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
HIGH;2 - 5 years;RENT;MEDIUM;debt_consolidation;HIGH;AVERAGE;YES;NEVER;AVERAGE;NO;MEDIUM;NO;default
MEDIUM;2 - 5 years;RENT;MEDIUM;car;HIGH;AVERAGE;NO;NEVER;AVERAGE;NO;MEDIUM;NO;default
HIGH;< 2 years;RENT;MEDIUM;debt_consolidation;AVERAGE;AVERAGE;YES;NEVER;AVERAGE;NO;HIGH;NO;repaid
